,districts,lat,lng
272,Southern Door County,44.7858324,-87.5000082
273,Southwestern Wisconsin,42.53005599999999,-90.5446912
274,Sparta Area,43.97908140000001,-90.7913227
275,Spencer,44.7577418,-90.29680119999999
276,Spooner Area,45.9657186,-91.8148946
277,Spring Valley,44.8452432,-92.2387957
278,Stanley-Boyd Area,44.9587957,-90.9438468
279,Stevens Point Area Public,44.51177029999999,-89.5874819
280,Stoughton Area,42.9196358,-89.2277026
281,Sturgeon Bay,44.8341639,-87.3770419
282,Sun Prairie Area,43.1912263,-89.18964299999999
283,Superior,46.7207737,-92.10407959999999
284,Tigerton,44.7408093,-89.0631653
285,Tomah Area,44.0187096,-90.52578229999999
286,Tomahawk,45.4710792,-89.7298594
287,Tomorrow River,44.4348286,-89.28472510000002
288,Tri-County Area,44.2089404,-89.5120084
289,Turtle Lake,45.3944027,-92.1424066
290,Two Rivers Public,44.1538844,-87.5692478
291,Union Grove UHS,42.7493717,-88.0314174
292,Unity,44.8516322,-90.3165242
293,Valders Area,44.0386467,-87.89424509999999
294,Verona Area,42.9601993,-89.5308903
295,Viroqua Area,43.5183492,-90.9438468
296,Wabeno Area,45.3652034,-88.5375431
297,Washburn,46.6732722,-90.8949075
298,Waterford UHS,42.7915933,-88.22664340000001
299,Waterloo,43.1838843,-88.9884421
300,Watertown Unified,43.2057718,-88.6723578
301,Waukesha,43.0107836,-88.2291729
302,Waunakee Community,43.192794,-89.4553088
303,Waupaca,44.3580348,-89.0859464
304,Waupun,43.6333219,-88.72955189999999
305,Wausau,44.9591352,-89.6301221
306,Wausaukee,45.370804,-87.9523332
307,Wautoma Area,44.055757,-89.28472510000002
308,Wauwatosa,43.0494572,-88.0075875
309,Wauzeka-Steuben,43.1128386,-90.9247501
310,Webster,45.8774469,-92.3674164
311,West Allis-West Milwaukee,43.01216489999999,-88.02163340000001
312,West Bend,43.4252776,-88.1834277
313,West De Pere,44.445547,-88.07538070000001
314,West Salem,43.8991321,-91.08124649999999
315,Westby Area,43.6726245,-90.86751339999999
316,Westfield,43.8835948,-89.49343929999999
317,Weyauwega-Fremont,44.2805447,-88.90306
318,Whitefish Bay,43.1133444,-87.9000856
319,Whitehall,44.367461,-91.3165482
320,Whitewater Unified,42.83362049999999,-88.7323272
321,Whitnall,42.95418129999999,-88.0411993
322,Wild Rose,44.1785884,-89.2490064
323,Williams Bay,42.5780721,-88.54093329999999
324,Wilmot UHS,42.5170653,-88.1876676
325,Winneconne Community,44.1455724,-88.6916315
326,Wisconsin Dells,43.6274794,-89.7709579
327,Wisconsin Heights,43.1356553,-89.7379958
328,Wisconsin Rapids,44.38357630000001,-89.8173465
329,Wittenberg-Birnamwood,44.8103787,-89.20867729999999
330,Wonewoc-Union Center,43.6565375,-90.20571079999999
331,Wrightstown Community,44.3269841,-88.1096118
