State,Grade Level,Total Scholar Awards,AP Scholar,AP Scholar  with Honor,AP Scholar with Distinction,AP International Diploma,AP Capstone Diploma,"AP Seminar 
and Research Certificate",,
NH     ,11th,538,300,111,127,0,0,0,,
NH     ,12th,1145,522,212,399,4,0,8,,
NH     ,Not in HS,4,0,2,2,0,0,0,,
,,1750,855,342,541,4,0,8,,
NJ     ,9th,24,19,3,2,0,0,0,,
NJ     ,10th,1002,642,203,156,1,0,0,,
NJ     ,11th,9952,4376,2256,2834,2,160,324,,
NJ     ,12th,16642,6130,2730,7010,33,494,245,,
NJ     ,Not in HS,12,3,4,5,0,0,0,,
NJ     ,Not yet in 9th,4,0,0,4,0,0,0,,
,,27636,11170,5196,10011,36,654,569,,
NM     ,9th,4,3,0,1,0,0,0,,
NM     ,10th,62,40,15,7,0,0,0,,
NM     ,11th,509,268,100,130,0,4,7,,
NM     ,12th,752,354,139,225,0,24,10,,
,,1327,665,254,363,0,28,17,,
NV     ,9th,43,32,9,2,0,0,0,,
NV     ,10th,405,262,84,59,0,0,0,,
NV     ,11th,1542,719,313,404,0,50,56,,
NV     ,12th,2247,1046,342,754,0,80,25,,
NV     ,Not in HS,3,2,0,1,0,0,0,,
NV     ,Not yet in 9th,2,1,1,0,0,0,0,,
,,4242,2062,749,1220,0,130,81,,
NY     ,9th,60,47,11,2,0,0,0,,
NY     ,10th,2281,1636,431,138,0,19,57,,
NY     ,11th,19908,8989,4828,4633,1,563,894,,
NY     ,12th,28097,11726,4516,10727,55,732,341,,
NY     ,Not in HS,22,7,3,11,0,0,1,,
NY     ,Not yet in 9th,2,1,0,1,0,0,0,,
,,50370,22406,9789,15512,56,1314,1293,,
OH     ,9th,15,12,1,1,0,1,0,,
OH     ,10th,905,606,199,96,0,0,4,,
OH     ,11th,6830,3069,1546,1935,1,136,143,,
OH     ,12th,11070,4305,1925,4352,5,358,125,,
OH     ,Not in HS,19,5,5,9,0,0,0,,
OH     ,Not yet in 9th,1,0,1,0,0,0,0,,
,,18840,7997,3677,6393,6,495,272,,
OK     ,9th,2,1,1,0,0,0,0,,
OK     ,10th,97,66,24,7,0,0,0,,
OK     ,11th,1136,610,249,267,0,7,3,,
OK     ,12th,1659,784,279,539,0,45,12,,
OK     ,Not in HS,5,1,0,4,0,0,0,,
,,2899,1462,553,817,0,52,15,,
OR     ,9th,10,8,2,0,0,0,0,,
OR     ,10th,188,139,30,19,0,0,0,,
OR     ,11th,1581,837,357,342,0,14,31,,
OR     ,12th,2444,1085,489,835,5,21,9,,
OR     ,Not in HS,1,1,0,0,0,0,0,,
OR     ,Not yet in 9th,1,0,1,0,0,0,0,,
,,4225,2070,879,1196,5,35,40,,
PA     ,9th,50,43,5,2,0,0,0,,
PA     ,10th,1116,704,247,162,0,0,3,,
PA     ,11th,7893,3649,1821,2167,0,129,127,,
PA     ,12th,12158,4833,2076,4877,11,243,118,,
PA     ,Not in HS,20,9,4,7,0,0,0,,
,,21237,9238,4153,7215,11,372,248,,
RI     ,9th,4,3,1,0,0,0,0,,
RI     ,10th,14,8,3,3,0,0,0,,
RI     ,11th,560,308,147,102,0,0,3,,
RI     ,12th,1121,536,210,364,3,2,6,,
RI     ,Not in HS,1,1,0,0,0,0,0,,
,,1700,856,361,469,3,2,9,,
SC     ,9th,8,7,1,0,0,0,0,,
SC     ,10th,1116,761,217,95,0,30,13,,
SC     ,11th,3535,1559,702,967,1,176,130,,
SC     ,12th,4566,1780,696,1687,1,331,71,,
SC     ,Not in HS,9,6,2,1,0,0,0,,
,,9234,4113,1618,2750,2,537,214,,
SD     ,9th,1,0,0,1,0,0,0,,
SD     ,10th,83,66,15,2,0,0,0,,
SD     ,11th,266,122,56,84,0,4,0,,
