State,Grade Level,Total Scholar Awards,Scholar,Honor,Distinction,International Diploma ,Capstone Diploma,Capstone Certificate,,,
TX,10th,5870,4011,1233,619,0,2,5,,,
TX,11th,22876,10526,4412,7239,8,461,230,,,
TX,12th,25826,11809,3490,9589,22,685,231,,,
TX,Not in HS,32,11,3,15,1,2,0,,,
TX,Not yet in 9th,2,2,0,0,0,0,0,,,
,,54812,26541,9154,17470,31,1150,466,,,
UT,9th,23,21,1,1,0,0,0,,,
UT,10th,627,476,118,33,0,0,0,,,
UT,11th,2472,1222,586,635,0,26,3,,,
UT,12th,3153,1288,615,1189,3,46,12,,,
UT,Not yet in 9th,1,1,0,0,0,0,0,,,
,,6276,3008,1320,1858,3,72,15,,,
VA,9th,31,29,2,0,0,0,0,,,
VA,10th,804,573,151,80,0,0,0,,,
VA,11th,7581,3539,1854,2055,0,39,94,,,
VA,12th,10026,3836,1451,4306,14,281,138,,,
VA,Not in HS,3,2,1,0,0,0,0,,,
VA,Not yet in 9th,1,0,1,0,0,0,0,,,
,,18446,7979,3460,6441,14,320,232,,,
VT,10th,9,9,0,0,0,0,0,,,
VT,11th,171,106,40,25,0,0,0,,,
VT,12th,458,193,94,138,1,19,13,,,
,,638,308,134,163,1,19,13,,,
WA,9th,21,15,2,4,0,0,0,,,
WA,10th,575,396,126,52,0,0,1,,,
WA,11th,2952,1269,615,873,1,44,150,,,
WA,12th,3922,1397,587,1745,14,123,56,,,
WA,Not in HS,2,0,1,1,0,0,0,,,
WA,Not yet in 9th,2,0,1,1,0,0,0,,,
,,7474,3077,1332,2676,15,167,207,,,
WI,9th,14,11,1,2,0,0,0,,,
WI,10th,446,302,92,51,0,0,1,,,
WI,11th,3752,1980,882,834,0,13,43,,,
WI,12th,6039,2558,1188,2178,4,63,48,,,
WI,Not in HS,6,2,1,3,0,0,0,,,
,,10257,4853,2164,3068,4,76,92,,,
WV,9th,3,2,1,0,0,0,0,,,
WV,10th,48,33,7,7,0,0,1,,,
WV,11th,360,188,71,93,0,0,8,,,
WV,12th,535,301,86,142,0,3,3,,,
WV,Not in HS,3,3,0,0,0,0,0,,,
,,949,527,165,242,0,3,12,,,
WY,9th,2,2,0,0,0,0,0,,,
WY,10th,18,16,2,0,0,0,0,,,
WY,11th,111,58,26,26,0,1,0,,,
WY,12th,187,86,29,61,0,8,3,,,
,,318,162,57,87,0,9,3,,,
Canada,9th,21,16,4,1,0,0,0,,,
Canada,10th,154,103,33,18,0,0,0,,,
Canada,11th,693,305,149,200,19,2,18,,,
Canada,12th,1709,598,315,496,37,108,155,,,
Canada,Not in HS,4,1,3,0,0,0,0,,,
Canada,Not yet in 9th,2,1,0,1,0,0,0,,,
,,2583,1024,504,716,56,110,173,,,
Non-USA,9th,126,110,12,4,0,0,0,,,
Non-USA,10th,1246,796,256,181,5,0,8,,,
Non-USA,11th,9626,3423,2228,3572,223,68,112,,,
Non-USA,12th,10973,2720,1663,5520,374,452,244,,,
Non-USA,Not in HS,120,37,27,52,4,0,0,,,
Non-USA,Not yet in 9th,7,3,2,2,0,0,0,,,
,,22098,7089,4188,9331,606,520,364,,,
Total Scholars,,567306,255674,107949,182998,1046,11404,8235,,,
,,,,,,,,,,,
