"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2021-22","608","Bartow County","0114","Cass High School","Eng. Language & Comp","35","35","11"
"2021-22","608","Bartow County","0114","Cass High School","Eng. Literature & Comp","45","45","26"
"2021-22","608","Bartow County","0114","Cass High School","Environmental Science","48","48","6"
"2021-22","608","Bartow County","0114","Cass High School","Geography: Human","64","64","15"
"2021-22","608","Bartow County","0114","Cass High School","Gov. & Pol. Comp","41","41","12"
"2021-22","608","Bartow County","0114","Cass High School","Physics 1","17","17","2"
"2021-22","608","Bartow County","0114","Cass High School","Physics C: Elec & Magnetism","TFS","TFS","TFS"
"2021-22","608","Bartow County","0114","Cass High School","Psychology","78","78","30"
"2021-22","608","Bartow County","0114","Cass High School","Spanish Language","12","12","10"
"2021-22","608","Bartow County","0114","Cass High School","Statistics","TFS","TFS","TFS"
"2021-22","608","Bartow County","0114","Cass High School","U.S. History","61","61","14"
"2021-22","608","Bartow County","0114","Cass High School","World History","61","61","24"
"2021-22","608","Bartow County","0198","Woodland High School","ALL Subjects","255","509","300"
"2021-22","608","Bartow County","0198","Woodland High School","Art: Studio 2-D Design","10","10","8"
"2021-22","608","Bartow County","0198","Woodland High School","Art: Studio Drawing","TFS","TFS","TFS"
"2021-22","608","Bartow County","0198","Woodland High School","Biology","64","64","40"
"2021-22","608","Bartow County","0198","Woodland High School","Calculus A","TFS","TFS","TFS"
"2021-22","608","Bartow County","0198","Woodland High School","Calculus BC","TFS","TFS","TFS"
"2021-22","608","Bartow County","0198","Woodland High School","Capstone","36","36","32"
"2021-22","608","Bartow County","0198","Woodland High School","Chemistry","15","15","5"
"2021-22","608","Bartow County","0198","Woodland High School","Economics: Micro","47","47","19"
"2021-22","608","Bartow County","0198","Woodland High School","Eng. Language & Comp","68","68","31"
"2021-22","608","Bartow County","0198","Woodland High School","Eng. Literature & Comp","42","42","37"
"2021-22","608","Bartow County","0198","Woodland High School","Environmental Science","17","17","9"
"2021-22","608","Bartow County","0198","Woodland High School","European History","TFS","TFS","TFS"
"2021-22","608","Bartow County","0198","Woodland High School","Geography: Human","19","19","16"
"2021-22","608","Bartow County","0198","Woodland High School","Gov. & Pol. U.S.","33","33","8"
"2021-22","608","Bartow County","0198","Woodland High School","Physics 1","TFS","TFS","TFS"
"2021-22","608","Bartow County","0198","Woodland High School","Psychology","TFS","TFS","TFS"
"2021-22","608","Bartow County","0198","Woodland High School","Spanish Language","11","11","8"
"2021-22","608","Bartow County","0198","Woodland High School","Statistics","20","20","7"
"2021-22","608","Bartow County","0198","Woodland High School","U.S. History","38","38","11"
"2021-22","608","Bartow County","0198","Woodland High School","World History","55","55","43"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","821","1607","670"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio 2-D Design","16","16","13"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio Drawing","TFS","TFS","TFS"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Biology","89","89","53"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Calculus A","29","29","11"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Calculus BC","11","11","8"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Capstone","86","86","71"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Chemistry","27","27","6"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Computer Science A","TFS","TFS","TFS"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Computer Science Principles","19","19","8"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro","147","147","52"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","146","146","55"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","110","110","79"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science","120","120","27"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","European History","TFS","TFS","TFS"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human","135","135","42"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. Comp","41","41","12"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.","53","53","13"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Physics 1","45","45","9"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Physics C: Elec & Magnetism","TFS","TFS","TFS"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Psychology","102","102","37"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Spanish Language","44","44","34"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Statistics","33","33","11"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","U.S. History","145","145","36"
"2021-22","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","World History","188","188","84"
"2021-22","609","Ben Hill County","0291","Fitzgerald High School","ALL Subjects","58","64","25"
"2021-22","609","Ben Hill County","0291","Fitzgerald High School","Art: Studio 2-D Design","12","12","8"
"2021-22","609","Ben Hill County","0291","Fitzgerald High School","Art: Studio Drawing","TFS","TFS","TFS"
"2021-22","609","Ben Hill County","0291","Fitzgerald High School","Computer Science A","TFS","TFS","TFS"
"2021-22","609","Ben Hill County","0291","Fitzgerald High School","Eng. Language & Comp","12","12","3"
"2021-22","609","Ben Hill County","0291","Fitzgerald High School","Physics C: Mechanics","TFS","TFS","TFS"
"2021-22","609","Ben Hill County","0291","Fitzgerald High School","U.S. History","TFS","TFS","TFS"
"2021-22","609","Ben Hill County","0291","Fitzgerald High School","World History","28","28","10"
"2021-22","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","58","64","25"
"2021-22","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio 2-D Design","12","12","8"
"2021-22","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio Drawing","TFS","TFS","TFS"
"2021-22","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","Computer Science A","TFS","TFS","TFS"
"2021-22","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","12","12","3"
"2021-22","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","Physics C: Mechanics","TFS","TFS","TFS"
"2021-22","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","U.S. History","TFS","TFS","TFS"
"2021-22","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","World History","28","28","10"
"2021-22","610","Berrien County","0101","Berrien High School","ALL Subjects","63","86","46"
"2021-22","610","Berrien County","0101","Berrien High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"2021-22","610","Berrien County","0101","Berrien High School","Art: Studio Drawing","TFS","TFS","TFS"
"2021-22","610","Berrien County","0101","Berrien High School","Economics: Macro","11","11","7"
"2021-22","610","Berrien County","0101","Berrien High School","Economics: Micro","20","20","14"
"2021-22","610","Berrien County","0101","Berrien High School","Eng. Language & Comp","10","10","3"
"2021-22","610","Berrien County","0101","Berrien High School","Environmental Science","16","16","6"
"2021-22","610","Berrien County","0101","Berrien High School","U.S. History","22","22","9"
"2021-22","610","Berrien County","0106","Berrien Academy Performance Learning Center","ALL Subjects","TFS","TFS","TFS"
"2021-22","610","Berrien County","0106","Berrien Academy Performance Learning Center","Eng. Literature & Comp","TFS","TFS","TFS"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","70","93","52"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio 2-D Design","TFS","TFS","TFS"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio Drawing","TFS","TFS","TFS"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Economics: Macro","11","11","7"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro","20","20","14"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","10","10","3"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","TFS","TFS","TFS"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science","16","16","6"
"2021-22","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","U.S. History","22","22","9"
"2021-22","611","Bibb County","0105","Howard High School","ALL Subjects","124","213","88"
"2021-22","611","Bibb County","0105","Howard High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"2021-22","611","Bibb County","0105","Howard High School","Biology","11","11","8"
"2021-22","611","Bibb County","0105","Howard High School","Calculus A","14","14","4"
"2021-22","611","Bibb County","0105","Howard High School","Calculus BC","TFS","TFS","TFS"
"2021-22","611","Bibb County","0105","Howard High School","Chinese Lang. & Culture","TFS","TFS","TFS"
"2021-22","611","Bibb County","0105","Howard High School","Computer Science Principles","13","13","3"
"2021-22","611","Bibb County","0105","Howard High School","Economics: Micro","23","23","3"
"2021-22","611","Bibb County","0105","Howard High School","Eng. Language & Comp","17","17","5"
"2021-22","611","Bibb County","0105","Howard High School","Eng. Literature & Comp","25","25","21"
"2021-22","611","Bibb County","0105","Howard High School","Environmental Science","10","10","3"
"2021-22","611","Bibb County","0105","Howard High School","Geography: Human","38","38","14"
"2021-22","611","Bibb County","0105","Howard High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"2021-22","611","Bibb County","0105","Howard High School","Physics 1","TFS","TFS","TFS"
"2021-22","611","Bibb County","0105","Howard High School","Statistics","TFS","TFS","TFS"
"2021-22","611","Bibb County","0105","Howard High School","U.S. History","20","20","8"
"2021-22","611","Bibb County","0105","Howard High School","World History","22","22","13"
"2021-22","611","Bibb County","0186","Central High School","ALL Subjects","67","94","18"
"2021-22","611","Bibb County","0186","Central High School","Eng. Language & Comp","33","33","2"
"2021-22","611","Bibb County","0186","Central High School","Gov. & Pol. U.S.","13","13","1"
"2021-22","611","Bibb County","0186","Central High School","U.S. History","19","19","10"
"2021-22","611","Bibb County","0186","Central High School","World History","29","29","5"
"2021-22","611","Bibb County","0198","Westside High School","ALL Subjects","55","74","5"
"2021-22","611","Bibb County","0198","Westside High School","Biology","TFS","TFS","TFS"
"2021-22","611","Bibb County","0198","Westside High School","Chemistry","TFS","TFS","TFS"
"2021-22","611","Bibb County","0198","Westside High School","Eng. Language & Comp","15","15","1"
"2021-22","611","Bibb County","0198","Westside High School","Eng. Literature & Comp","TFS","TFS","TFS"
"2021-22","611","Bibb County","0198","Westside High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"2021-22","611","Bibb County","0198","Westside High School","U.S. History","14","14","1"
"2021-22","611","Bibb County","0198","Westside High School","World History","29","29",""
"2021-22","611","Bibb County","0204","Rutland High School","ALL Subjects","68","79","18"
"2021-22","611","Bibb County","0204","Rutland High School","Biology","13","13","8"
"2021-22","611","Bibb County","0204","Rutland High School","Calculus A","TFS","TFS","TFS"
"2021-22","611","Bibb County","0204","Rutland High School","Eng. Language & Comp","TFS","TFS","TFS"
"2021-22","611","Bibb County","0204","Rutland High School","Physics 1","TFS","TFS","TFS"
"2021-22","611","Bibb County","0204","Rutland High School","U.S. History","TFS","TFS","TFS"
"2021-22","611","Bibb County","0204","Rutland High School","World History","38","38","8"
"2021-22","611","Bibb County","0286","Northeast High School","ALL Subjects","45","45","2"
"2021-22","611","Bibb County","0286","Northeast High School","Biology","12","12",""
"2021-22","611","Bibb County","0286","Northeast High School","Calculus A","TFS","TFS","TFS"
"2021-22","611","Bibb County","0286","Northeast High School","Environmental Science","25","25","2"
"2021-22","611","Bibb County","0386","Southwest High School","ALL Subjects","22","22","1"
"2021-22","611","Bibb County","0386","Southwest High School","U.S. History","13","13","1"
"2021-22","611","Bibb County","0386","Southwest High School","World History","TFS","TFS","TFS"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","381","527","132"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio 2-D Design","TFS","TFS","TFS"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Biology","43","43","17"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Calculus A","28","28","5"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Calculus BC","TFS","TFS","TFS"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Chemistry","TFS","TFS","TFS"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Chinese Lang. & Culture","TFS","TFS","TFS"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Computer Science Principles","13","13","3"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro","23","23","3"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","71","71","9"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","30","30","23"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science","35","35","5"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human","38","38","14"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.","16","16","2"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Physics 1","10","10",""
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Statistics","TFS","TFS","TFS"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","U.S. History","74","74","20"
"2021-22","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","World History","127","127","26"
"2021-22","612","Bleckley County","0105","Bleckley County High School","ALL Subjects","55","95","34"
"2021-22","612","Bleckley County","0105","Bleckley County High School","Calculus A","15","15","3"
"2021-22","612","Bleckley County","0105","Bleckley County High School","Economics: Macro","31","31","8"
"2021-22","612","Bleckley County","0105","Bleckley County High School","Eng. Language & Comp","21","21","12"
"2021-22","612","Bleckley County","0105","Bleckley County High School","Environmental Science","28","28","11"
"2021-22","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","55","95","34"
"2021-22","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","Calculus A","15","15","3"
"2021-22","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","Economics: Macro","31","31","8"
"2021-22","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","21","21","12"
"2021-22","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science","28","28","11"
"2021-22","613","Brantley County","1050","Brantley County High School","ALL Subjects","63","78","47"
"2021-22","613","Brantley County","1050","Brantley County High School","Biology","19","19","13"
"2021-22","613","Brantley County","1050","Brantley County High School","Eng. Language & Comp","40","40","17"
"2021-22","613","Brantley County","1050","Brantley County High School","World History","19","19","17"
"2021-22","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","63","78","47"
