name,city,stabbr,basic2021,enrprofile2021,sector,control,hbcu,hsi,msi,womens,selindex,rooms,ugtenr20,tribal
Arkansas Tech University,Russellville,AR,4,3,1,1,0,0,0,0,1.0,2508,10110,0
University of Arkansas at Monticello,Monticello,AR,4,3,1,1,0,0,0,0,1.0,709,2352,0
Baptist Health College Little Rock,Little Rock,AR,1,1,5,2,0,0,0,0,,0,661,0
Black River Technical College,Pocahontas,AR,0,1,4,1,0,0,0,0,,0,1350,0
University of Central Arkansas,Conway,AR,3,4,1,1,0,0,0,0,2.0,3706,8615,0
Central Baptist College,Conway,AR,5,2,2,2,0,0,0,0,1.0,192,604,0
Cossatot Community College of the University of Arkansas,De Queen,AR,0,1,4,1,0,0,0,0,,0,1386,0
Crowley's Ridge College,Paragould,AR,5,2,2,2,0,0,0,0,1.0,141,192,0
East Arkansas Community College,Forrest City,AR,0,1,4,1,0,0,0,0,,0,934,0
National Park College,Hot Springs,AR,0,1,4,1,0,0,0,0,,180,1912,0
University of Arkansas Community College-Batesville,Batesville,AR,0,1,4,1,0,0,0,0,,0,1224,0
Harding University,Searcy,AR,3,4,2,2,0,0,0,0,2.0,2869,3572,0
Henderson State University,Arkadelphia,AR,4,3,1,1,0,0,0,0,1.0,2085,2626,0
Hendrix College,Conway,AR,5,3,2,2,0,0,0,0,2.0,1258,1067,0
Jefferson Regional School of Nursing,Pine Bluff,AR,1,1,5,2,0,0,0,0,,0,55,0
John Brown University,Siloam Springs,AR,4,4,2,2,0,0,0,0,2.0,1143,1820,0
Arkansas State University Mid-South,West Memphis,AR,0,1,4,1,0,0,0,0,,0,1203,0
Arkansas Northeastern College,Blytheville,AR,0,1,4,1,0,0,0,0,,0,1358,0
North Arkansas College,Harrison,AR,0,1,4,1,0,0,0,0,,0,1604,0
Ouachita Baptist University,Arkadelphia,AR,5,3,2,2,0,0,0,0,2.0,1608,1664,0
Arkansas State University Three Rivers,Malvern,AR,0,1,4,1,0,0,0,0,,0,1243,0
Ozarka College,Melbourne,AR,0,1,4,1,0,0,0,0,,15,1033,0
University of the Ozarks,Clarksville,AR,5,2,2,2,0,0,0,0,1.0,634,836,0
University of Arkansas Community College-Morrilton,Morrilton,AR,0,1,4,1,0,0,0,0,,0,1836,0
Philander Smith University,Little Rock,AR,5,2,2,2,1,0,1,0,1.0,516,799,0
Phillips Community College of the University of Arkansas,Helena,AR,0,1,4,1,0,0,0,0,,0,1093,0
Southeast Arkansas College,Pine Bluff,AR,0,1,4,1,0,0,0,0,,0,1113,0
University of Arkansas-Pulaski Technical College,North Little Rock,AR,0,1,4,1,0,0,0,0,,0,4810,0
University of Arkansas Hope-Texarkana,Hope,AR,0,1,4,1,0,0,0,0,,0,1211,0
University of Arkansas Community College Rich Mountain,Mena,AR,0,1,4,1,0,0,0,0,,153,798,0
Shorter College,N Little Rock,AR,0,1,5,2,1,0,1,0,,0,223,0
Williams Baptist University,Walnut Ridge,AR,5,3,2,2,0,0,0,0,1.0,457,589,0
South Arkansas College,El Dorado,AR,0,1,4,1,0,0,0,0,,0,1253,0
Southern Arkansas University Main Campus,Magnolia,AR,4,4,1,1,0,0,0,0,1.0,2120,3447,0
Southern Arkansas University Tech,Camden,AR,0,1,4,1,0,0,0,0,,160,769,0
University of Arkansas-Fort Smith,Fort Smith,AR,5,3,1,1,0,0,0,0,1.0,940,5830,0
Academy of Art University,San Francisco,CA,4,5,3,3,0,0,0,0,1.0,1283,6124,0
Academy of Chinese Culture and Health Sciences,Oakland,CA,1,7,2,2,0,0,0,0,0.0,0,0,0
College of Alameda,Alameda,CA,0,1,4,1,0,0,0,0,,0,5107,0
Allan Hancock College,Santa Maria,CA,0,1,4,1,0,1,1,0,,0,10248,0
Berkeley School of Theology,Berkeley,CA,1,7,2,2,0,0,0,0,0.0,0,0,0
American Film Institute Conservatory,Los Angeles,CA,1,7,2,2,0,0,0,0,0.0,0,0,0
American Career College-Los Angeles,Los Angeles,CA,1,1,6,3,0,0,0,0,,0,1751,0
American Conservatory Theater,San Francisco,CA,1,6,2,2,0,0,0,0,0.0,0,7,0
American River College,Sacramento,CA,0,1,4,1,0,0,0,0,,0,25422,0
Antelope Valley College,Lancaster,CA,0,2,1,1,0,1,1,0,1.0,0,12057,0
Art Center College of Design,Pasadena,CA,4,4,2,2,0,0,0,0,2.0,0,1912,0
Azusa Pacific University,Azusa,CA,2,5,2,2,0,1,1,0,1.0,2875,4498,0
Bakersfield College,Bakersfield,CA,0,2,1,1,0,1,1,0,1.0,0,24903,0
Barstow Community College,Barstow,CA,0,1,4,1,0,1,1,0,,0,2444,0
Bethesda University,Anaheim,CA,5,5,2,2,0,0,0,0,1.0,0,285,0
Biola University,La Mirada,CA,3,5,2,2,0,0,0,0,2.0,2685,3683,0
Bryan University,Tempe,AZ,5,2,3,3,0,0,0,0,1.0,0,1350,0
Butte College,Oroville,CA,0,1,4,1,0,0,0,0,,0,9335,0
