COUNTY_NAME,SCHOOL_NAME,Asian,Asian,Asian,Black,Black,Black,Hispanic,Hispanic,Hispanic,Multiracial,Multiracial,Multiracial,White,White,White,Paid meals,Paid meals,Paid meals,Free/Reduced price meals,Free/Reduced price meals,Free/Reduced price meals
Name,Name,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM
LaPorte,Tri-Township Cons School Corp,,,,,,,***,***,***,,,,27,0,0,23,0,0,***,***,***
LaPorte,Michigan City Area Schools,***,***,***,102,0,25,31,3,12,19,1,4,120,20,66,86,12,40,190,9,57
LaPorte,South Central Com School Corp,***,***,***,,,,***,***,***,***,***,***,71,6,25,58,6,26,22,0,3
LaPorte,LaPorte Community School Corp,,,,17,0,3,62,9,16,13,4,7,292,81,139,230,70,119,152,18,33
Lawrence,North Lawrence Com Schools,***,***,***,,,,***,***,***,***,***,***,265,25,52,182,20,46,97,6,7
Lawrence,Mitchell Community Schools,***,***,***,,,,***,***,***,***,***,***,80,5,21,55,4,16,33,1,7
Madison,Frankton-Lapel Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,221,12,40,178,11,36,64,2,8
Madison,South Madison Com Sch Corp,***,***,***,***,***,***,***,***,***,***,***,***,293,78,159,256,72,134,63,6,22
Madison,Alexandria Community School Corp,***,***,***,***,***,***,***,***,***,***,***,***,102,8,40,67,8,30,43,0,11
Madison,Anderson Community School Corp,***,***,***,85,1,6,51,0,3,18,1,3,164,8,29,133,9,27,186,2,13
Madison,Elwood Community School Corp,,,,,,,***,***,***,***,***,***,97,10,20,61,8,15,39,1,5
Marion,MSD Decatur Township,***,***,***,80,6,23,52,5,9,16,2,3,258,30,87,183,28,54,222,14,58
Marion,Franklin Township Com Sch Corp,82,20,37,58,6,10,72,10,19,52,14,16,461,141,220,464,151,224,259,30,58
Marion,MSD Lawrence Township,15,4,8,513,20,126,282,26,81,80,13,35,250,84,151,595,108,245,543,30,118
Marion,Perry Township Schools,283,39,112,88,3,8,186,16,30,38,3,9,488,89,153,463,92,155,618,48,132
Marion,MSD Pike Township,16,7,11,399,44,99,185,19,30,42,11,17,48,30,33,315,54,77,375,41,81
Marion,MSD Warren Township,***,***,***,395,11,45,135,7,28,61,6,10,161,25,45,352,27,61,403,15,48
