GeoFIPS,GeoName,Description,Unit,2018,2019,2020,2021,2022
" ""01059""","Franklin, AL",Personal income (thousands of dollars) ,Thousands of dollars,1063978,1089679,1170652,1281396,1343049
" ""01059""","Franklin, AL",Population (persons) 1/,Number of persons,31959,32107,32075,31996,31932
" ""01059""","Franklin, AL",Per capita personal income (dollars) 2/,Dollars,33292,33939,36497,40049,42060
" ""01061""","Geneva, AL",Personal income (thousands of dollars) ,Thousands of dollars,907023,951736,1019276,1113896,1105684
" ""01061""","Geneva, AL",Population (persons) 1/,Number of persons,26521,26561,26696,26667,26783
" ""01061""","Geneva, AL",Per capita personal income (dollars) 2/,Dollars,34200,35832,38181,41771,41283
" ""01063""","Greene, AL",Personal income (thousands of dollars) ,Thousands of dollars,251241,261648,282090,301103,282808
" ""01063""","Greene, AL",Population (persons) 1/,Number of persons,7979,7846,7702,7592,7422
" ""01063""","Greene, AL",Per capita personal income (dollars) 2/,Dollars,31488,33348,36626,39661,38104
" ""01065""","Hale, AL",Personal income (thousands of dollars) ,Thousands of dollars,524442,560909,608503,652744,630777
" ""01065""","Hale, AL",Population (persons) 1/,Number of persons,14880,14787,14768,14737,14595
" ""01065""","Hale, AL",Per capita personal income (dollars) 2/,Dollars,35245,37933,41204,44293,43219
" ""01067""","Henry, AL",Personal income (thousands of dollars) ,Thousands of dollars,716407,759711,816757,897658,918858
" ""01067""","Henry, AL",Population (persons) 1/,Number of persons,17064,17085,17175,17434,17655
" ""01067""","Henry, AL",Per capita personal income (dollars) 2/,Dollars,41984,44467,47555,51489,52045
" ""01069""","Houston, AL",Personal income (thousands of dollars) ,Thousands of dollars,4437058,4690624,5077303,5503234,5522370
" ""01069""","Houston, AL",Population (persons) 1/,Number of persons,105482,106848,107286,107453,108079
" ""01069""","Houston, AL",Per capita personal income (dollars) 2/,Dollars,42065,43900,47325,51215,51096
" ""01071""","Jackson, AL",Personal income (thousands of dollars) ,Thousands of dollars,1884993,1942872,2044238,2269063,2288835
" ""01071""","Jackson, AL",Population (persons) 1/,Number of persons,52431,52547,52545,52694,52891
" ""01071""","Jackson, AL",Per capita personal income (dollars) 2/,Dollars,35952,36974,38905,43061,43275
" ""01073""","Jefferson, AL",Personal income (thousands of dollars) ,Thousands of dollars,35801584,36843299,39180917,42883620,44146370
" ""01073""","Jefferson, AL",Population (persons) 1/,Number of persons,674571,675214,674675,669997,665409
" ""01073""","Jefferson, AL",Per capita personal income (dollars) 2/,Dollars,53073,54565,58074,64006,66345
" ""01075""","Lamar, AL",Personal income (thousands of dollars) ,Thousands of dollars,457700,478874,513477,543900,537237
" ""01075""","Lamar, AL",Population (persons) 1/,Number of persons,14030,13987,13956,13740,13705
" ""01075""","Lamar, AL",Per capita personal income (dollars) 2/,Dollars,32623,34237,36793,39585,39200
" ""01077""","Lauderdale, AL",Personal income (thousands of dollars) ,Thousands of dollars,3380826,3570283,3967729,4224245,4324777
" ""01077""","Lauderdale, AL",Population (persons) 1/,Number of persons,92975,93298,94025,94862,95878
" ""01077""","Lauderdale, AL",Per capita personal income (dollars) 2/,Dollars,36363,38268,42199,44530,45107
" ""01079""","Lawrence, AL",Personal income (thousands of dollars) ,Thousands of dollars,1114310,1183098,1221548,1393865,1379110
" ""01079""","Lawrence, AL",Population (persons) 1/,Number of persons,33089,33055,33089,33123,33214
" ""01079""","Lawrence, AL",Per capita personal income (dollars) 2/,Dollars,33676,35792,36917,42081,41522
" ""01081""","Lee, AL",Personal income (thousands of dollars) ,Thousands of dollars,6230684,6716398,7221431,8002677,8440449
" ""01081""","Lee, AL",Population (persons) 1/,Number of persons,170423,172030,174742,177655,180773
" ""01081""","Lee, AL",Per capita personal income (dollars) 2/,Dollars,36560,39042,41326,45046,46691
" ""01083""","Limestone, AL",Personal income (thousands of dollars) ,Thousands of dollars,4156699,4484937,4983548,5677871,5982430
" ""01083""","Limestone, AL",Population (persons) 1/,Number of persons,97834,101023,104190,107381,110900
" ""01083""","Limestone, AL",Per capita personal income (dollars) 2/,Dollars,42487,44395,47831,52876,53944
" ""01085""","Lowndes, AL",Personal income (thousands of dollars) ,Thousands of dollars,393111,408852,433618,469355,455991
" ""01085""","Lowndes, AL",Population (persons) 1/,Number of persons,10517,10327,10273,9926,9777
" ""01085""","Lowndes, AL",Per capita personal income (dollars) 2/,Dollars,37379,39591,42209,47285,46639
" ""01087""","Macon, AL",Personal income (thousands of dollars) ,Thousands of dollars,591711,615526,677119,717400,706110
" ""01087""","Macon, AL",Population (persons) 1/,Number of persons,19622,19510,19473,18906,18516
" ""01087""","Macon, AL",Per capita personal income (dollars) 2/,Dollars,30155,31549,34772,37946,38135
" ""01089""","Madison, AL",Personal income (thousands of dollars) ,Thousands of dollars,18866501,20116605,21971488,23874287,24719104
" ""01089""","Madison, AL",Population (persons) 1/,Number of persons,375545,381823,390502,396593,403565
" ""01089""","Madison, AL",Per capita personal income (dollars) 2/,Dollars,50238,52686,56265,60198,61252
" ""01091""","Marengo, AL",Personal income (thousands of dollars) ,Thousands of dollars,744010,771076,843654,888074,877241
" ""01091""","Marengo, AL",Population (persons) 1/,Number of persons,19537,19413,19266,18961,18745
" ""01091""","Marengo, AL",Per capita personal income (dollars) 2/,Dollars,38082,39720,43790,46837,46799
" ""01093""","Marion, AL",Personal income (thousands of dollars) ,Thousands of dollars,960712,986360,1082048,1196892,1234162
