#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","607","Barrow County","3052","Winder-Barrow High School","ALL Subjects","216","390","233"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Biology","13","13","13"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Calculus A","29","29","21"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Chemistry","22","22","11"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Economics: Micro","32","32","27"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Eng. Language & Comp","53","53","18"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Eng. Literature & Comp","28","28","25"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Environmental Science","16","16","14"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Geography: Human","28","28","17"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Gov. & Pol. U.S.","28","28","23"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Physics 1","16","16","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Psychology","34","34","13"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Statistics","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","U.S. History","32","32","TFS"
"AP COUNTS","2022-23","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","World History","33","33","22"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","607","Barrow County","ALL","All Schools","ALL Subjects","373","656","386"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Biology","52","52","34"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Calculus A","34","34","23"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Calculus BC","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Capstone Research","13","13","12"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Chemistry","54","54","25"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Economics: Micro","44","44","37"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Eng. Language & Comp","80","80","29"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Eng. Literature & Comp","37","37","33"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Environmental Science","19","19","15"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Geography: Human","51","51","31"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Gov. & Pol. U.S.","36","36","28"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Physics 1","27","27","11"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Psychology","45","45","18"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Spanish Language","10","10","TFS"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","Statistics","29","29","16"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","U.S. History","53","53","14"
"AP COUNTS","2022-23","DISTRICT","607","Barrow County","ALL","All Schools","World History","58","58","43"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","608","Bartow County","0105","Adairsville High School","ALL Subjects","342","669","273"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Art: Studio 2-D Design","11","11","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Biology","21","21","14"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Calculus BC","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Capstone","62","62","52"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0105","Adairsville High School","Capstone Research","46","46","35"
