,County,State_Abbreviation,Income,Population
529,Putnam,GA,58653,23129
530,Quitman,GA,39745,2280
531,Rabun,GA,54148,17442
532,Randolph,GA,45285,6078
533,Richmond,GA,45441,205414
534,Rockdale,GA,43568,95987
535,Schley,GA,45658,4526
536,Screven,GA,42295,14174
537,Seminole,GA,47396,9092
538,Spalding,GA,44742,69946
539,Stephens,GA,46093,27228
540,Stewart,GA,36853,4674
541,Sumter,GA,45394,28890
542,Talbot,GA,49053,5718
543,Taliaferro,GA,41595,1609
544,Tattnall,GA,35381,24296
545,Taylor,GA,42058,7758
546,Telfair,GA,34086,10920
547,Terrell,GA,48546,8718
548,Thomas,GA,57135,45649
549,Tift,GA,48399,41554
550,Toombs,GA,44036,27040
551,Towns,GA,51955,13035
552,Treutlen,GA,41701,6341
553,Troup,GA,47658,70742
554,Turner,GA,39005,8909
555,Twiggs,GA,45169,7691
556,Union,GA,47853,27124
557,Upson,GA,43541,28263
558,Walker,GA,44195,69489
559,Walton,GA,53871,106702
560,Ware,GA,39743,36243
561,Warren,GA,42403,5106
562,Washington,GA,43518,19820
563,Wayne,GA,39274,31373
564,Webster,GA,43964,2337
565,Wheeler,GA,24588,7081
566,White,GA,50043,29026
567,Whitfield,GA,47955,103687
568,Wilcox,GA,32581,8779
569,Wilkes,GA,51478,9518
570,Wilkinson,GA,43443,8725
571,Worth,GA,42753,20273
572,Hawaii,HI,52866,207615
573,Honolulu,HI,69893,989408
574,Kauai,HI,61257,73851
575,Maui + Kalawao,HI,62816,164264
576,Ada,ID,72588,524673
577,Adams,ID,45707,4903
578,Bannock,ID,50084,90400
579,Bear Lake,ID,49045,6766
580,Benewah,ID,45633,10369
581,Bingham,ID,48780,50395
582,Blaine,ID,187239,25041
583,Boise,ID,54614,8517
584,Bonner,ID,55464,52547
585,Bonneville,ID,60032,131366
586,Boundary,ID,47225,13557
587,Butte,ID,51958,2758
588,Camas,ID,60737,1232
589,Canyon,ID,47903,257674
