County,State_Abbreviation,Year,PassRate,Income,County_State,GEOID,geometry
Forsyth,GA,2019,78.31231813773036,65841,"Forsyth, GA",13117,"POLYGON ((-84.258743 34.185908999999995, -84.25891899999999 34.207316999999996, -84.25868899999999 34.237094, -84.25857599999999 34.288205999999995, -84.25807499999999 34.335156, -84.148473 34.334756, -84.018542 34.334313, -83.957077 34.334011, -83.945472 34.329242, -83.94983599999999 34.312304999999995, -83.932442 34.284915999999996, -83.92559 34.286418, -83.954116 34.267509, -83.95052199999999 34.261587, -83.950141 34.239528, -83.971992 34.227905, -83.989059 34.195732, -84.03070799999999 34.195312, -84.057632 34.183277, -84.06284099999999 34.167873, -84.074624 34.163686999999996, -84.09750000000001 34.122931, -84.113723 34.085797, -84.11332399999999 34.078285, -84.117994 34.065945, -84.09769299999999 34.050708, -84.143442 34.055315, -84.178344 34.070402, -84.19042999999999 34.086317, -84.205837 34.090603, -84.205969 34.090679, -84.216177 34.099819, -84.227465 34.097142999999996, -84.258934 34.109539, -84.258743 34.185908999999995))"
Forsyth,GA,2020,76.347774946089,69446,"Forsyth, GA",13117,"POLYGON ((-84.258743 34.185908999999995, -84.25891899999999 34.207316999999996, -84.25868899999999 34.237094, -84.25857599999999 34.288205999999995, -84.25807499999999 34.335156, -84.148473 34.334756, -84.018542 34.334313, -83.957077 34.334011, -83.945472 34.329242, -83.94983599999999 34.312304999999995, -83.932442 34.284915999999996, -83.92559 34.286418, -83.954116 34.267509, -83.95052199999999 34.261587, -83.950141 34.239528, -83.971992 34.227905, -83.989059 34.195732, -84.03070799999999 34.195312, -84.057632 34.183277, -84.06284099999999 34.167873, -84.074624 34.163686999999996, -84.09750000000001 34.122931, -84.113723 34.085797, -84.11332399999999 34.078285, -84.117994 34.065945, -84.09769299999999 34.050708, -84.143442 34.055315, -84.178344 34.070402, -84.19042999999999 34.086317, -84.205837 34.090603, -84.205969 34.090679, -84.216177 34.099819, -84.227465 34.097142999999996, -84.258934 34.109539, -84.258743 34.185908999999995))"
Forsyth,GA,2021,75.86033911909301,74888,"Forsyth, GA",13117,"POLYGON ((-84.258743 34.185908999999995, -84.25891899999999 34.207316999999996, -84.25868899999999 34.237094, -84.25857599999999 34.288205999999995, -84.25807499999999 34.335156, -84.148473 34.334756, -84.018542 34.334313, -83.957077 34.334011, -83.945472 34.329242, -83.94983599999999 34.312304999999995, -83.932442 34.284915999999996, -83.92559 34.286418, -83.954116 34.267509, -83.95052199999999 34.261587, -83.950141 34.239528, -83.971992 34.227905, -83.989059 34.195732, -84.03070799999999 34.195312, -84.057632 34.183277, -84.06284099999999 34.167873, -84.074624 34.163686999999996, -84.09750000000001 34.122931, -84.113723 34.085797, -84.11332399999999 34.078285, -84.117994 34.065945, -84.09769299999999 34.050708, -84.143442 34.055315, -84.178344 34.070402, -84.19042999999999 34.086317, -84.205837 34.090603, -84.205969 34.090679, -84.216177 34.099819, -84.227465 34.097142999999996, -84.258934 34.109539, -84.258743 34.185908999999995))"
Forsyth,GA,2022,79.17922785179422,79382,"Forsyth, GA",13117,"POLYGON ((-84.258743 34.185908999999995, -84.25891899999999 34.207316999999996, -84.25868899999999 34.237094, -84.25857599999999 34.288205999999995, -84.25807499999999 34.335156, -84.148473 34.334756, -84.018542 34.334313, -83.957077 34.334011, -83.945472 34.329242, -83.94983599999999 34.312304999999995, -83.932442 34.284915999999996, -83.92559 34.286418, -83.954116 34.267509, -83.95052199999999 34.261587, -83.950141 34.239528, -83.971992 34.227905, -83.989059 34.195732, -84.03070799999999 34.195312, -84.057632 34.183277, -84.06284099999999 34.167873, -84.074624 34.163686999999996, -84.09750000000001 34.122931, -84.113723 34.085797, -84.11332399999999 34.078285, -84.117994 34.065945, -84.09769299999999 34.050708, -84.143442 34.055315, -84.178344 34.070402, -84.19042999999999 34.086317, -84.205837 34.090603, -84.205969 34.090679, -84.216177 34.099819, -84.227465 34.097142999999996, -84.258934 34.109539, -84.258743 34.185908999999995))"
Spalding,GA,2019,,35717,"Spalding, GA",13255,"POLYGON ((-84.50795099999999 33.248616999999996, -84.49752699999999 33.257422, -84.432907 33.2565, -84.418785 33.293667, -84.392962 33.308887, -84.38304099999999 33.340213999999996, -84.38811799999999 33.352464999999995, -84.3544 33.352514, -84.249164 33.352539, -84.247304 33.335969999999996, -84.216329 33.335820999999996, -84.150581 33.335639, -84.150909 33.312982, -84.102582 33.298190999999996, -84.088991 33.285646, -84.10258499999999 33.272301, -84.12262299999999 33.252668, -84.123767 33.202824, -84.123981 33.178619999999995, -84.224277 33.179387999999996, -84.24818499999999 33.189019, -84.26834 33.189234, -84.373685 33.189625, -84.37314099999999 33.200359999999996, -84.39363 33.200271, -84.393467 33.208311, -84.451336 33.208889, -84.45528499999999 33.202636, -84.475458 33.20064, -84.481302 33.18846, -84.496783 33.183866, -84.490539 33.197586, -84.502352 33.221055, -84.50795099999999 33.248616999999996))"
Spalding,GA,2020,,38420,"Spalding, GA",13255,"POLYGON ((-84.50795099999999 33.248616999999996, -84.49752699999999 33.257422, -84.432907 33.2565, -84.418785 33.293667, -84.392962 33.308887, -84.38304099999999 33.340213999999996, -84.38811799999999 33.352464999999995, -84.3544 33.352514, -84.249164 33.352539, -84.247304 33.335969999999996, -84.216329 33.335820999999996, -84.150581 33.335639, -84.150909 33.312982, -84.102582 33.298190999999996, -84.088991 33.285646, -84.10258499999999 33.272301, -84.12262299999999 33.252668, -84.123767 33.202824, -84.123981 33.178619999999995, -84.224277 33.179387999999996, -84.24818499999999 33.189019, -84.26834 33.189234, -84.373685 33.189625, -84.37314099999999 33.200359999999996, -84.39363 33.200271, -84.393467 33.208311, -84.451336 33.208889, -84.45528499999999 33.202636, -84.475458 33.20064, -84.481302 33.18846, -84.496783 33.183866, -84.490539 33.197586, -84.502352 33.221055, -84.50795099999999 33.248616999999996))"
Spalding,GA,2021,,42951,"Spalding, GA",13255,"POLYGON ((-84.50795099999999 33.248616999999996, -84.49752699999999 33.257422, -84.432907 33.2565, -84.418785 33.293667, -84.392962 33.308887, -84.38304099999999 33.340213999999996, -84.38811799999999 33.352464999999995, -84.3544 33.352514, -84.249164 33.352539, -84.247304 33.335969999999996, -84.216329 33.335820999999996, -84.150581 33.335639, -84.150909 33.312982, -84.102582 33.298190999999996, -84.088991 33.285646, -84.10258499999999 33.272301, -84.12262299999999 33.252668, -84.123767 33.202824, -84.123981 33.178619999999995, -84.224277 33.179387999999996, -84.24818499999999 33.189019, -84.26834 33.189234, -84.373685 33.189625, -84.37314099999999 33.200359999999996, -84.39363 33.200271, -84.393467 33.208311, -84.451336 33.208889, -84.45528499999999 33.202636, -84.475458 33.20064, -84.481302 33.18846, -84.496783 33.183866, -84.490539 33.197586, -84.502352 33.221055, -84.50795099999999 33.248616999999996))"
Spalding,GA,2022,,41959,"Spalding, GA",13255,"POLYGON ((-84.50795099999999 33.248616999999996, -84.49752699999999 33.257422, -84.432907 33.2565, -84.418785 33.293667, -84.392962 33.308887, -84.38304099999999 33.340213999999996, -84.38811799999999 33.352464999999995, -84.3544 33.352514, -84.249164 33.352539, -84.247304 33.335969999999996, -84.216329 33.335820999999996, -84.150581 33.335639, -84.150909 33.312982, -84.102582 33.298190999999996, -84.088991 33.285646, -84.10258499999999 33.272301, -84.12262299999999 33.252668, -84.123767 33.202824, -84.123981 33.178619999999995, -84.224277 33.179387999999996, -84.24818499999999 33.189019, -84.26834 33.189234, -84.373685 33.189625, -84.37314099999999 33.200359999999996, -84.39363 33.200271, -84.393467 33.208311, -84.451336 33.208889, -84.45528499999999 33.202636, -84.475458 33.20064, -84.481302 33.18846, -84.496783 33.183866, -84.490539 33.197586, -84.502352 33.221055, -84.50795099999999 33.248616999999996))"
Taliaferro,GA,2019,,38006,"Taliaferro, GA",13265,"POLYGON ((-82.989899 33.603279, -83.00161 33.620242999999995, -82.987724 33.628941, -82.980102 33.614716, -82.970512 33.641726999999996, -82.951163 33.661272, -82.963678 33.676761, -82.978241 33.679888, -82.99560199999999 33.693583, -82.993133 33.701523, -82.949046 33.733333, -82.890599 33.632877, -82.879716 33.620748, -82.86933599999999 33.642404, -82.850325 33.639552, -82.83260299999999 33.650963, -82.812958 33.655836, -82.779913 33.632577, -82.74383 33.611442, -82.692039 33.619745, -82.679975 33.599792, -82.704968 33.587513, -82.71923799999999 33.563962, -82.72240099999999 33.538818, -82.740128 33.528618, -82.747339 33.51171, -82.787605 33.5107, -82.815315 33.521136999999996, -82.82314099999999 33.504075, -82.86660499999999 33.466598999999995, -82.85195399999999 33.443543, -82.872597 33.446416, -82.90179499999999 33.438787999999995, -82.93965999999999 33.442693999999996, -82.951222 33.451786999999996, -82.983657 33.447677, -83.01285299999999 33.469178, -82.98558799999999 33.489841, -82.986035 33.520356, -83.014038 33.580383, -82.989899 33.603279))"
Taliaferro,GA,2020,,38125,"Taliaferro, GA",13265,"POLYGON ((-82.989899 33.603279, -83.00161 33.620242999999995, -82.987724 33.628941, -82.980102 33.614716, -82.970512 33.641726999999996, -82.951163 33.661272, -82.963678 33.676761, -82.978241 33.679888, -82.99560199999999 33.693583, -82.993133 33.701523, -82.949046 33.733333, -82.890599 33.632877, -82.879716 33.620748, -82.86933599999999 33.642404, -82.850325 33.639552, -82.83260299999999 33.650963, -82.812958 33.655836, -82.779913 33.632577, -82.74383 33.611442, -82.692039 33.619745, -82.679975 33.599792, -82.704968 33.587513, -82.71923799999999 33.563962, -82.72240099999999 33.538818, -82.740128 33.528618, -82.747339 33.51171, -82.787605 33.5107, -82.815315 33.521136999999996, -82.82314099999999 33.504075, -82.86660499999999 33.466598999999995, -82.85195399999999 33.443543, -82.872597 33.446416, -82.90179499999999 33.438787999999995, -82.93965999999999 33.442693999999996, -82.951222 33.451786999999996, -82.983657 33.447677, -83.01285299999999 33.469178, -82.98558799999999 33.489841, -82.986035 33.520356, -83.014038 33.580383, -82.989899 33.603279))"
