,County,EXAM_COUNT,EXAMS_3_OR_ABOVE,PERCENT_3_OR_ABOVE,Year,lat,lng
87,Wake,13466,8895,66.0552503,2018,35.7903,-78.6503
88,Warren,2,*,*,2018,36.3965,-78.1067
89,Washington,,,,2018,35.8225,-76.5775
90,Watauga,268,188,70.1492537,2018,36.2311,-81.6964
91,Wayne,296,123,41.5540541,2018,35.364,-78.004
92,Wilkes,268,133,49.6268657,2018,36.2062,-81.163
93,Wilson,331,169,51.0574018,2018,35.7051,-77.9187
94,Yadkin,85,33,38.8235294,2018,36.1605,-80.6652
95,Yancey,56,42,75,2018,35.8989,-82.3076
96,Alamance-Burlington,1010,430,42.5742574,2019,,
97,Alexander,156,102,65.3846154,2019,35.921,-81.177
98,Alleghany,,,,2019,36.4916,-81.127
99,Anson,1,*,*,2019,34.9738,-80.1027
100,Ashe,107,56,52.3364486,2019,36.4341,-81.5004
101,Avery,74,43,58.1081081,2019,36.0765,-81.9226
102,Beaufort,152,32,21.0526316,2019,35.494,-76.8598
103,Bertie,,,,2019,36.0663,-76.9788
104,Bladen,45,14,31.1111111,2019,34.6146,-78.5637
